Description,Price,Rating,ReviewCount,URL
"trademeshop 16 Ton Quick Hydraulic Crimper Cable Plier Crimping Tool Kit 16-300 mm, 11 Die","₹3,399",4.6 out of 5 stars,2,https://www.amazon.in//Quick-Hydraulic-Crimper-Crimping-300mm/dp/B079QLBQC4/ref=sr_1_34?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-34
"DEVICE OF URBAN INFOTECH Automatic 5 in 1 Wire Stripper & Crimper, 24-10 AW/ 34-3 Gauge/ 0.2-6 mm 8 Inch Self-Adjusting Cutter Crimper Multi Pliers, with Cutting, Crimping, Stripping Function",₹849,,,https://www.amazon.in//DEVICE-URBAN-INFOTECH-Automatic-Self-Adjusting/dp/B08LY9YTL6/ref=sr_1_35?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-35
"Digital Craft Hydraulic Crimping Tool 16-300mm2 for Copper, Aluminum Terminal Pliers YQK-300 Hydraulic New Manual Hydraulic Crimper","₹4,499",,,https://www.amazon.in//Digital-Craft-Hydraulic-Crimping-16-300mm2/dp/B082T46KXT/ref=sr_1_36?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-36
Tufcrimp A8T1 Hydraulic Crimping Tool TC/HCT/300,"₹4,800",3.8 out of 5 stars,8,https://www.amazon.in//Tufcrimp-A8T1-Hydraulic-Crimping-Tool/dp/B010D677OM/ref=sr_1_37?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-37
"Digital Craft YQK-300 Hexagon Hydraulic Crimping Plier (16-3000 mm, Black and Blue)","₹5,499",4.5 out of 5 stars,4,https://www.amazon.in//Digital-Craft-YQK-300-Hydraulic-Crimping/dp/B07NTMC7ML/ref=sr_1_38?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-38
JAINSON BHOOMI 400 WITH HAND PUMP Hand Operated Hydraulic Crimping Tool,"₹25,925",,,https://www.amazon.in//BHOOMI-400-HAND-PUMP-Hydraulic/dp/B08698LJKN/ref=sr_1_39?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-39
A&S TOOL SHOP 16 Ton Quick Hydraulic Crimper Cable Plier Crimping Tool Kit 16-300mm 11 Die,"₹3,495",1.0 out of 5 stars,1,https://www.amazon.in//TOOL-SHOP-Hydraulic-Crimping-16-300mm/dp/B07STWX2LJ/ref=sr_1_40?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-40
JAINSON BHOOMI 400 WITH FOOT PUMP Foot Operated Hydraulic Crimping Tool,"₹29,620",,,https://www.amazon.in//BHOOMI-400-FOOT-PUMP-Hydraulic/dp/B086989TGN/ref=sr_1_41?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-41
"A&S TOOL SHOP Quick Hydraulic Crimper Cable Plier Crimping Tool Kit 16-300mm 11 Die, 16 Ton","₹3,999",,,https://www.amazon.in//TOOL-SHOP-Hydraulic-Crimping-16-300mm/dp/B07TSPBTKM/ref=sr_1_42?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-42
"piesome 40 in 1 Wrench Tool Kit & Screwdriver and Socket Set Automobile Motorcycle Tool Box Set Socket Wrench Sleeve Suit Hardware Auto Car Repair Tools Wrenches Set,Tool kit Set for Home use(Gray)",₹549,,,https://www.amazon.in//40-Screwdriver-Automobile-Motorcycle-Hardware/dp/B08BCBVWVW/ref=sr_1_43?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-43
"Digital Craft 1 PCS Hydraulic Crimping Tool 16-300mm2 for Copper, Aluminum Terminal Pliers YQK-300 Hydraulic New Manual Hydraulic Crimper","₹4,399",,,https://www.amazon.in//Digital-Craft-Hydraulic-Crimping-16-300mm2/dp/B082RFYQ9S/ref=sr_1_44?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-44
"Digital Craft 1Pc Hydraulic Crimping Tool 16-300mm2 for Copper, Aluminum Terminal Pliers YQK-300 Hydraulic New Manual Hydraulic Crimper","₹4,199",,,https://www.amazon.in//Digital-Craft-Hydraulic-Crimping-16-300mm2/dp/B082T3PB3L/ref=sr_1_45?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-45
"ISC Hydraulic Crimping Tool 10-300mm² for Copper, Aluminum Terminal Pliers with Combo 10~300mm² Manual Hydraulic Crimper","₹3,999",,,https://www.amazon.in//ISC-Hydraulic-Crimping-10-300mm%C2%B2-10-300mm%C2%B2/dp/B086D4KGZ7/ref=sr_1_46?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288487&sr=8-46
