Description,Price,Rating,ReviewCount,URL
GNEY Scissor Jack 1.5 Ton Car Jack Set for scissor Jack with lifting rod all hatchback & Sedan (Capacity 1500kg),₹896,3.7 out of 5 stars,32,https://www.amazon.in//GNEY-Scissor-scissor-hatchback-Capacity/dp/B082Q3YXK5/ref=sr_1_29?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-29
IR (2 ton) Car Hydraulic Trolley Jack for Maruti Ignis,"₹2,185",,,https://www.amazon.in//IR-Hydraulic-Trolley-Maruti-Ignis/dp/B08JV9H2T8/ref=sr_1_30?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-30
Yashvin Super Heavy Hydraulic Jack for All Cars (Universal) 3000 kg Easy to use & Operate,₹939,3.3 out of 5 stars,9,https://www.amazon.in//Super-Heavy-Hydraulic-Universal-Operate/dp/B07TWKN8GR/ref=sr_1_31?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-31
"KOZDIKO Hydraulic Bottle Jack for All cars,5 Ton","₹1,099",3.2 out of 5 stars,21,https://www.amazon.in//KOZDIKO-Hydraulic-Bottle-Jack-cars/dp/B01JJH2HF0/ref=sr_1_32?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-32
IR (2 ton) Car Hydraulic Trolley Jack for Maruti Brezza,"₹2,185",3.5 out of 5 stars,3,https://www.amazon.in//IR-Hydraulic-Trolley-Maruti-Brezza/dp/B08FMNDX3M/ref=sr_1_33?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-33
Kozdiko 5 Ton Car Hydraulic Jack Universal for All Cars (Color May Vary),"₹1,099",3.5 out of 5 stars,12,https://www.amazon.in//Kozdiko-Hydraulic-Jack-Universal-Color/dp/B01DM33ZPS/ref=sr_1_34?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-34
STARVIN® Super Premium Heavy Car Hydraulic Jack for All Cars (Universal) (Blue & Red) G-112,₹999,3.7 out of 5 stars,26,https://www.amazon.in//STARVIN%C2%AE-Super-Premium-Hydraulic-Universal/dp/B072BCJXTC/ref=sr_1_35?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-35
CNC Mechanical Jack for Trucks 75 Ton Only sold by Rahul Steels,"₹1,475",4.6 out of 5 stars,9,https://www.amazon.in//CNC-Mechanical-Jack-Trucks-Ton/dp/B01LHRNKZ6/ref=sr_1_36?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-36
ATLAS TITAN 5 TON Hydraulic Jack (with CHECKNUT) for All Cars and SUVs,"₹1,549",2.0 out of 5 stars,1,https://www.amazon.in//ATLAS-TITAN-Hydraulic-Jack-CHECKNUT/dp/B08FGBV2GT/ref=sr_1_37?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-37
Yashvin Super Heavy Hydraulic Jack for All Cars (Universal) 5000 kg Easy to use & Operate,"₹1,089",2.6 out of 5 stars,4,https://www.amazon.in//Super-Heavy-Hydraulic-Universal-Operate/dp/B07TYLRSV3/ref=sr_1_38?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-38
Yashvin Brand 2 Ton Car Hydraulic Bottle Shaped Jack for all cars,₹959,,,https://www.amazon.in//Yashvin-Brand-Hydraulic-Bottle-Shaped/dp/B086QPP73C/ref=sr_1_39?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-39
Yashvin Super Heavy Hydraulic Jack for All Cars (Universal) 5000 kg Easy to use & Operate,"₹1,089",5.0 out of 5 stars,1,https://www.amazon.in//Super-Heavy-Hydraulic-Universal-Operate/dp/B07TVGYJYY/ref=sr_1_40?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-40
AutoStark 2 Ton Hydraulic Trolley Jack for Cars,"₹2,443",3.3 out of 5 stars,20,https://www.amazon.in//AutoStark-Hydraulic-Trolley-Maruti-Stingray/dp/B01B4DJZ6G/ref=sr_1_41?dchild=1&keywords=hydraulic+jack&qid=1605689970&sr=8-41
